lat,lon,dia
34.48,-31.29,15.3
63.26,17.31,67.22
-61.24,-170.21,37.83
-85.33,-42.13,80.4
-60.41,153.5,57.95
80.12,113.66,36.07
12.59,31.08,58.11
-47.67,168.7,88.78
38.92,10.72,162.21
6.19,45.93,23.54
-28.04,-27.9,16.69
45.57,152.91,114.65
55.5,-99.73,103.55
19.88,81.36,30.12
38.04,118.69,84.28
-7.65,34.92,12.41
-34.09,-26.73,83.23
13.27,-72.5,63.04
33.75,-24.12,218.15
24.91,2.28,40.05
19.53,40.36,6.11
52.09,-144.2,53.76
8.48,122.37,104.76
69.52,-51.23,57.8
10.67,26.68,59.17
-2.11,80.96,91.5
43.97,62.04,131.98
4.24,59.29,38.75
-43.46,127.6,99.49
-72.7,-30.75,21.82
-51.95,113.3,89.17
40.25,4.64,51.24
-45.7,-87.37,12.52
-17.98,23.55,71.01
9.56,38.63,24.02
5.1,-66.93,125.38
-24.63,-53.78,68.4
29.74,-29.38,20.52
3.94,15.09,12.48
-34.1,20.05,69.31
-0.42,32.69,121.8
40.68,45.78,63.39
29.88,31.67,11.39
-52.85,-101.34,41.17
-39.06,-154.63,125
79.58,9.09,78.08
-20.44,-116.35,53.85
-58.83,96.04,236.67
37.39,175.03,93.7
43.65,171.76,47.65
18.9,112.21,21.98
-12.69,-2.16,0.1
-40.14,-109.46,34.04
-5.76,150.24,16.36
50.09,-100.47,117.59
-61.29,-91.24,57.03
54.53,-176.77,50.14
29.9,-26.37,0.06
36.22,-131.69,108.23
3.39,-140.71,40.32
-11.64,137.2,63.7
-42.48,-147.49,81.05
-34.01,-132.88,75.42
47.01,174.41,19.53
45.01,51.57,31.63
20.02,29.97,38.96
3.99,1.12,61.18
-46.11,162.99,1.11
-33.29,-21.18,13.34
-47.84,13.86,59.37
-38.67,119.35,53.08
-36.9,-43.93,32.23
-58.62,-14.73,2.23
27.6,55.5,16.12
60.32,-77.4,6.74
21.68,29.8,160.07
-38.09,126.65,91.15
31.09,-162.91,38.18
1.3,23.71,28.52
-15.26,46.02,87.26
55.86,104.05,35.08
23.39,-113.17,56.11
21.59,-122.05,22.45
1.87,60.36,31.25
12.1,69.58,43.34
-0.28,-167.84,90.69
21.66,1.95,145.5
-17.5,48.81,378.42
52.68,175.92,0.64
9.62,-20.08,34.81
-50.48,-152.91,90.08
0.56,171.8,57.06
-4.9,-92.58,35.1
54.46,-115,62.65
25.14,-30.81,14.09
67.24,-90.86,42.97
14.21,45.98,6.85
-46.98,150.51,64.61
-67.46,-147.95,23.29
-10.4,-165.1,103.44
-13.56,50.72,9.29
-16.68,-66.96,67.58
0.83,118.75,31.17
-23.05,92.28,83.25
14.57,56.79,150.6
-67.08,4.4,16.94
71.82,69.4,174.97
-50.29,9.69,54.33
-20.37,157.37,20.34
-13.29,24.07,6.88
-66.21,-6.34,62.79
-41.65,-147.16,27.58
9.1,44.95,6.82
-5.83,179.4,37.2
18.71,5.26,29.35
-11.91,33.61,155.58
-9.56,82.93,47.43
51.07,164.89,39.49
17.07,-84.45,83.84
5.74,59.5,72.38
-4.85,-61.25,8.28
35.42,31.16,58.92
-11.42,123.9,41.29
25.36,180,181.89
-14.61,-23.57,38.34
2.26,14.6,15.05
-10.31,124.59,0.57
-19.93,-69.21,95.97
-26.49,-137.05,39.62
15.73,14.75,24.47
-37.93,-174.97,28.25
-11.85,-8.15,72.88
17.21,26.34,56.55
-66.99,-135.05,70.27
-76.94,-163.33,40.09
-25.83,-50.83,39.92
-88.48,-88.34,6.54
59.02,52.84,0.53
49.38,143,22.42
3.31,14.89,33.33
-55.24,-98.99,53.8
79.81,38.57,45.49
-19.71,-60.32,115.35
-19.68,-176.78,16.58
29.47,51.62,1.09
-10.68,99.68,109.24
49.43,-176.03,41
46.12,-68.18,19.11
-1.94,17.39,23.96
-22.26,2.62,20.47
-10.91,-6.13,6.97
29.98,-34.68,50.16
-6.87,140.7,75.29
27.16,60.2,88.58
-15.89,121.55,32.02
-55.02,-2.98,47.03
2.88,7.27,58.83
62.31,34.99,134.11
-78.09,59.36,51.55
-16.26,142.76,51.16
70.25,-73.42,87.27
-11.74,15.67,17.21
21.13,20.59,139.65
-32.55,-5.57,325.13
24.35,110.91,27.13
-2.61,165.62,3.44
14.29,35.65,46.32
-20.42,121.54,64.3
2.77,17.29,56.99
27.62,-34.3,84.46
10.58,-152.05,65.94
-12.83,129.68,122.4
-68.97,-108.53,13.8
